"Tiempo (s) Serie Nº 4";"Aceleración - y (m/s²) Serie Nº 4";"Vector velocidad (m/s) Serie Nº 4";"Tiempo (s) Serie Nº 5";"Aceleración - y (m/s²) Serie Nº 5";"Vector velocidad (m/s) Serie Nº 5";"Tiempo (s) Serie Nº 6";"Aceleración - y (m/s²) Serie Nº 6";"Vector velocidad (m/s) Serie Nº 6";"Tiempo (s) Serie Nº 7";"Aceleración - y (m/s²) Serie Nº 7";"Vector velocidad (m/s) Serie Nº 7";"Tiempo (s) Serie Nº 8";"Aceleración - y (m/s²) Serie Nº 8";"Vector velocidad (m/s) Serie Nº 8";"Tiempo (s) Serie Nº 9";"Aceleración - y (m/s²) Serie Nº 9";"Vector velocidad (m/s) Serie Nº 9";"Tiempo (s) Serie Nº 10";"Aceleración - y (m/s²) Serie Nº 10";"Vector velocidad (m/s) Serie Nº 10";"Tiempo (s) Serie Nº 12";"Aceleración - y (m/s²) Serie Nº 12";"Vector velocidad (m/s) Serie Nº 12";"Tiempo (s) Serie Nº 13";"Aceleración - y (m/s²) Serie Nº 13";"Vector velocidad (m/s) Serie Nº 13";"Tiempo (s) Serie Nº 14";"Aceleración - y (m/s²) Serie Nº 14";"Vector velocidad (m/s) Serie Nº 14"
4,850;9,9;-0,490;4,850;9,7;0,099;4,850;9,8;-0,388;;;;4,850;9,5;0,000;4,850;9,4;0,000;;;;;;;;;;;;
4,900;9,9;-0,456;4,900;9,8;0,158;4,900;9,6;-0,304;;;;4,900;9,5;0,000;4,900;9,3;0,000;;;;;;;;;;;;
4,950;9,9;-0,422;4,950;9,7;0,216;4,950;9,9;-0,209;;;;4,950;9,5;0,000;4,950;9,4;0,000;;;;;;;;;;;;
5,000;9,9;-0,388;5,000;9,7;0,274;5,000;9,7;-0,115;;;;5,000;9,5;0,000;5,000;9,4;0,000;;;;;;;;;;;;
5,050;9,7;-0,353;5,050;9,7;0,333;5,050;9,6;-0,028;;;;5,050;9,5;0,000;5,050;9,4;0,000;;;;;;;;;;;;
5,100;9,8;-0,317;5,100;9,7;0,390;5,100;9,5;0,048;;;;5,100;9,5;0,000;5,100;9,4;0,000;;;;;;;;;;;;
5,150;9,7;-0,282;5,150;9,7;0,448;5,150;9,6;0,114;;;;5,150;9,5;0,000;5,150;9,4;0,000;;;;;;;;;;;;
5,200;9,9;-0,247;5,200;9,7;0,506;5,200;9,7;0,174;;;;5,200;9,5;0,000;5,200;9,4;0,000;;;;;;;;;;;;
5,250;9,8;-0,213;5,250;9,7;0,563;5,250;9,7;0,235;;;;5,250;9,5;0,000;5,250;9,4;0,000;;;;;;;;;;;;
5,300;9,8;-0,180;5,300;9,8;0,606;5,300;9,8;0,295;;;;5,300;9,5;0,000;5,300;9,4;0,000;;;;;;;;;;;;
5,350;9,8;-0,146;5,350;9,7;0,458;5,350;9,9;0,336;;;;5,350;9,5;0,000;5,350;9,4;0,000;;;;;;;;;;;;
5,400;9,8;-0,113;5,400;9,7;0,084;5,400;9,6;0,263;;;;5,400;9,4;0,000;5,400;9,4;0,000;;;;;;;;;;;;
5,450;9,8;-0,080;5,450;9,9;-0,327;5,450;10,0;0,055;;;;5,450;9,5;0,000;5,450;9,4;0,000;;;;;;;;;;;;
5,500;9,8;-0,046;5,500;9,7;-0,546;5,500;9,7;-0,268;;;;5,500;9,5;0,000;5,500;9,4;0,000;;;;;;;;;;;;
5,550;9,8;-0,013;5,550;9,8;-0,537;5,550;9,5;;;;;5,550;9,5;0,000;5,550;9,4;0,000;;;;;;;;;;;;
5,600;9,8;0,019;5,600;9,7;-0,477;;;;;;;5,600;9,5;0,000;5,600;9,4;0,000;;;;;;;;;;;;
5,650;9,8;0,050;5,650;9,8;-0,416;;;;;;;5,650;9,5;0,000;5,650;9,4;0,000;;;;;;;;;;;;
5,700;9,8;0,081;5,700;9,7;-0,355;;;;;;;5,700;9,5;0,000;5,700;9,4;0,000;;;;;;;;;;;;
5,750;9,8;0,112;5,750;9,7;-0,293;;;;;;;5,750;9,5;0,000;5,750;9,4;0,000;;;;;;;;;;;;
5,800;9,8;0,143;5,800;9,9;-0,233;;;;;;;5,800;9,5;0,000;5,800;9,4;0,000;;;;;;;;;;;;
5,850;9,8;0,175;5,850;9,8;-0,172;;;;;;;5,850;9,5;0,000;5,850;9,4;0,000;;;;;;;;;;;;
5,900;9,8;0,205;5,900;9,7;-0,111;;;;;;;5,900;9,5;0,000;5,900;9,4;0,000;;;;;;;;;;;;
5,950;9,8;0,236;5,950;9,7;-0,050;;;;;;;5,950;9,5;0,000;5,950;9,4;0,000;;;;;;;;;;;;
6,000;9,9;0,266;6,000;9,7;0,011;;;;;;;6,000;9,5;0,000;6,000;9,4;0,000;;;;;;;;;;;;
6,050;9,7;0,295;6,050;9,7;0,070;;;;;;;6,050;9,5;0,000;6,050;9,4;0,000;;;;;;;;;;;;
6,100;9,8;0,325;6,100;9,7;0,130;;;;;;;6,100;9,5;0,000;6,100;9,4;0,000;;;;;;;;;;;;
6,150;9,9;0,354;6,150;9,7;0,188;;;;;;;6,150;9,4;;6,150;9,4;0,000;;;;;;;;;;;;
6,200;9,7;0,383;6,200;9,8;0,247;;;;;;;;;;6,200;9,4;0,000;;;;;;;;;;;;
6,250;9,7;0,413;6,250;9,7;0,304;;;;;;;;;;6,250;9,4;0,000;;;;;;;;;;;;
6,300;9,9;0,443;6,300;9,9;0,363;;;;;;;;;;6,300;9,4;0,000;;;;;;;;;;;;
6,350;9,8;0,473;6,350;9,7;0,421;;;;;;;;;;6,350;9,4;0,000;;;;;;;;;;;;
6,400;9,7;0,503;6,400;9,8;0,478;;;;;;;;;;6,400;9,4;0,000;;;;;;;;;;;;
6,450;9,6;0,533;6,450;9,6;0,533;;;;;;;;;;6,450;9,4;0,000;;;;;;;;;;;;
6,500;9,9;0,562;6,500;9,7;0,513;;;;;;;;;;6,500;9,4;0,000;;;;;;;;;;;;
6,550;9,6;0,570;6,550;9,8;0,284;;;;;;;;;;6,550;9,4;0,000;;;;;;;;;;;;
6,600;9,6;0,403;6,600;9,8;-0,087;;;;;;;;;;6,600;9,4;0,000;;;;;;;;;;;;
6,650;9,9;0,046;6,650;10,1;-0,390;;;;;;;;;;6,650;9,4;0,000;;;;;;;;;;;;
6,700;9,9;-0,326;6,700;9,7;-0,481;;;;;;;;;;6,700;9,4;0,000;;;;;;;;;;;;
6,750;9,7;-0,524;6,750;9,7;-0,428;;;;;;;;;;6,750;9,4;0,000;;;;;;;;;;;;
6,800;9,8;-0,530;6,800;9,6;-0,368;;;;;;;;;;6,800;9,4;0,000;;;;;;;;;;;;
6,850;9,7;-0,500;6,850;9,7;-0,308;;;;;;;;;;6,850;9,4;0,000;;;;;;;;;;;;
6,900;9,7;-0,466;6,900;9,7;-0,246;;;;;;;;;;6,900;9,4;0,000;;;;;;;;;;;;
6,950;9,8;-0,432;6,950;9,7;-0,185;;;;;;;;;;6,950;9,4;0,000;;;;;;;;;;;;
7,000;9,8;-0,397;7,000;9,7;-0,124;;;;;;;;;;7,000;9,3;0,000;;;;;;;;;;;;
7,050;9,9;-0,363;7,050;9,7;-0,064;;;;;;;;;;7,050;9,4;0,000;;;;;;;;;;;;
7,100;9,8;-0,328;7,100;9,7;-0,004;;;;;;;;;;7,100;9,4;0,000;;;;;;;;;;;;
7,150;9,8;-0,294;7,150;9,7;0,055;;;;;;;;;;7,150;9,4;0,000;;;;;;;;;;;;
7,200;9,9;-0,260;7,200;9,8;0,113;;;;;;;;;;7,200;9,4;0,000;;;;;;;;;;;;
7,250;9,7;;7,250;9,8;0,171;;;;;;;;;;7,250;9,4;;;;;;;;;;;;;
;;;7,300;9,7;0,230;;;;;;;;;;;;;;;;;;;;;;;;
;;;7,350;9,8;0,289;;;;;;;;;;;;;;;;;;;;;;;;
;;;7,400;9,8;0,346;;;;;;;;;;;;;;;;;;;;;;;;
;;;7,450;9,6;0,403;;;;;;;;;;;;;;;;;;;;;;;;
;;;7,500;9,6;0,456;;;;;;;;;;;;;;;;;;;;;;;;
;;;7,550;9,8;0,435;;;;;;;;;;;;;;;;;;;;;;;;
;;;7,600;9,8;0,226;;;;;;;;;;;;;;;;;;;;;;;;
;;;7,650;9,5;-0,103;;;;;;;;;;;;;;;;;;;;;;;;
;;;7,700;9,8;-0,367;;;;;;;;;;;;;;;;;;;;;;;;
;;;7,750;9,6;-0,442;;;;;;;;;;;;;;;;;;;;;;;;
;;;7,800;9,8;-0,393;;;;;;;;;;;;;;;;;;;;;;;;
;;;7,850;9,8;-0,334;;;;;;;;;;;;;;;;;;;;;;;;
;;;7,900;9,7;-0,274;;;;;;;;;;;;;;;;;;;;;;;;
;;;7,950;9,7;-0,212;;;;;;;;;;;;;;;;;;;;;;;;
;;;8,000;9,8;-0,151;;;;;;;;;;;;;;;;;;;;;;;;
;;;8,050;9,7;-0,090;;;;;;;;;;;;;;;;;;;;;;;;
;;;8,100;9,7;-0,029;;;;;;;;;;;;;;;;;;;;;;;;
;;;8,150;9,7;0,031;;;;;;;;;;;;;;;;;;;;;;;;
;;;8,200;9,7;0,091;;;;;;;;;;;;;;;;;;;;;;;;
;;;8,250;9,7;0,150;;;;;;;;;;;;;;;;;;;;;;;;
;;;8,300;9,7;0,208;;;;;;;;;;;;;;;;;;;;;;;;
;;;8,350;9,7;0,266;;;;;;;;;;;;;;;;;;;;;;;;
;;;8,400;9,8;0,324;;;;;;;;;;;;;;;;;;;;;;;;
;;;8,450;9,8;0,380;;;;;;;;;;;;;;;;;;;;;;;;
;;;8,500;9,8;0,430;;;;;;;;;;;;;;;;;;;;;;;;
;;;8,550;9,6;0,380;;;;;;;;;;;;;;;;;;;;;;;;
;;;8,600;9,8;0,154;;;;;;;;;;;;;;;;;;;;;;;;
;;;8,650;9,6;-0,154;;;;;;;;;;;;;;;;;;;;;;;;
;;;8,700;9,8;-0,369;;;;;;;;;;;;;;;;;;;;;;;;
;;;8,750;9,7;-0,407;;;;;;;;;;;;;;;;;;;;;;;;
;;;8,800;9,7;-0,354;;;;;;;;;;;;;;;;;;;;;;;;
;;;8,850;9,9;-0,295;;;;;;;;;;;;;;;;;;;;;;;;
;;;8,900;9,8;-0,235;;;;;;;;;;;;;;;;;;;;;;;;
;;;8,950;9,8;-0,175;;;;;;;;;;;;;;;;;;;;;;;;
;;;9,000;9,7;-0,114;;;;;;;;;;;;;;;;;;;;;;;;
;;;9,050;9,8;-0,053;;;;;;;;;;;;;;;;;;;;;;;;
;;;9,100;9,7;0,008;;;;;;;;;;;;;;;;;;;;;;;;
;;;9,150;9,7;0,069;;;;;;;;;;;;;;;;;;;;;;;;
;;;9,200;9,7;0,128;;;;;;;;;;;;;;;;;;;;;;;;
;;;9,250;9,7;0,186;;;;;;;;;;;;;;;;;;;;;;;;
;;;9,300;9,7;0,244;;;;;;;;;;;;;;;;;;;;;;;;
;;;9,350;9,7;;;;;;;;;;;;;;;;;;;;;;;;;
