"Tiempo (s) Serie Nº 4";"Aceleración - y (m/s²) Serie Nº 4";"Vector velocidad (m/s) Serie Nº 4";"Tiempo (s) Serie Nº 5";"Aceleración - y (m/s²) Serie Nº 5";"Vector velocidad (m/s) Serie Nº 5";"Tiempo (s) Serie Nº 6";"Aceleración - y (m/s²) Serie Nº 6";"Vector velocidad (m/s) Serie Nº 6";"Tiempo (s) Serie Nº 7";"Aceleración - y (m/s²) Serie Nº 7";"Vector velocidad (m/s) Serie Nº 7";"Tiempo (s) Serie Nº 8";"Aceleración - y (m/s²) Serie Nº 8";"Vector velocidad (m/s) Serie Nº 8";"Tiempo (s) Serie Nº 9";"Aceleración - y (m/s²) Serie Nº 9";"Vector velocidad (m/s) Serie Nº 9";"Tiempo (s) Serie Nº 10";"Aceleración - y (m/s²) Serie Nº 10";"Vector velocidad (m/s) Serie Nº 10";"Tiempo (s) Serie Nº 12";"Aceleración - y (m/s²) Serie Nº 12";"Vector velocidad (m/s) Serie Nº 12";"Tiempo (s) Serie Nº 13";"Aceleración - y (m/s²) Serie Nº 13";"Vector velocidad (m/s) Serie Nº 13";"Tiempo (s) Serie Nº 14";"Aceleración - y (m/s²) Serie Nº 14";"Vector velocidad (m/s) Serie Nº 14"
1,000;9,8;0,350;1,000;9,7;0,001;1,000;9,7;0,002;1,000;9,5;0,170;1,000;9,5;1,074;1,000;9,1;0,922;1,000;9,3;0,108;1,000;9,8;0,693;1,000;9,6;0,937;1,000;9,3;1,090
1,050;9,8;0,378;1,050;9,8;0,002;1,050;9,7;2,168E-18;1,050;9,5;0,232;1,050;9,6;1,189;1,050;9,3;1,059;1,050;9,4;0,219;1,050;9,9;0,738;1,050;9,6;1,024;1,050;8,9;1,222
1,100;9,9;0,407;1,100;9,8;0,001;1,100;9,7;-0,002;1,100;9,6;0,307;1,100;9,4;1,304;1,100;9,5;1,196;1,100;9,3;0,358;1,100;9,7;0,784;1,100;9,6;1,112;1,100;9,2;1,355
1,150;9,7;0,435;1,150;9,7;-0,003;1,150;9,7;-0,003;1,150;9,6;0,399;1,150;9,6;1,420;1,150;8,9;1,333;1,150;9,3;0,508;1,150;10,0;0,831;1,150;9,3;1,199;1,150;9,2;1,487
1,200;9,8;0,464;1,200;9,8;-0,007;1,200;9,7;-0,004;1,200;9,6;0,501;1,200;9,3;1,536;1,200;9,1;1,471;1,200;9,2;0,661;1,200;9,8;0,877;1,200;9,5;1,287;1,200;9,9;1,618
1,250;9,8;0,494;1,250;9,7;-0,009;1,250;9,7;-0,006;1,250;9,6;0,604;1,250;9,3;1,651;1,250;9,7;1,608;1,250;9,3;0,814;1,250;9,3;0,923;1,250;9,6;1,374;1,250;10,5;1,649
1,300;9,8;0,524;1,300;9,8;-0,008;1,300;9,7;-0,005;1,300;9,4;0,707;1,300;9,3;1,458;1,300;9,4;1,745;1,300;9,4;0,966;1,300;9,9;0,968;1,300;10,1;1,385;1,300;9,4;1,150
1,350;9,8;0,554;1,350;9,7;-0,005;1,350;9,7;-0,004;1,350;9,4;0,810;1,350;9,8;0,770;1,350;9,8;1,680;1,350;9,3;1,119;1,350;10,2;1,014;1,350;9,3;0,950;1,350;20,5;0,238
1,400;9,9;0,584;1,400;9,7;0,011;1,400;9,7;-0,002;1,400;9,6;0,915;1,400;0,1;-0,107;1,400;9,4;1,069;1,400;9,3;1,272;1,400;9,5;1,059;1,400;17,3;0,158;1,400;14,8;-0,556
1,450;10,0;0,613;1,450;9,7;0,045;1,450;9,7;-0,002;1,450;9,6;1,020;1,450;14,6;-0,675;1,450;11,4;0,115;1,450;8,6;1,425;1,450;9,9;0,913;1,450;5,4;-0,542;1,450;9,3;-0,818
1,500;9,6;0,642;1,500;9,7;0,097;1,500;9,7;-0,002;1,500;8,9;1,123;1,500;10,8;-0,742;1,500;14,4;-0,625;1,500;9,4;1,577;1,500;9,9;0,434;1,500;10,3;-0,798;1,500;10,2;-0,665
1,550;9,8;0,671;1,550;9,8;0,154;1,550;9,7;-0,001;1,550;9,8;1,225;1,550;9,5;-0,615;1,550;9,4;-0,804;1,550;8,9;1,730;1,550;5,3;-0,187;1,550;10,2;-0,704;1,550;9,2;-0,530
1,600;9,7;0,701;1,600;9,8;0,211;1,600;9,7;0,005;1,600;9,4;1,327;1,600;9,5;-0,484;1,600;9,2;-0,629;1,600;9,7;1,840;1,600;13,6;-0,614;1,600;9,5;-0,627;1,600;9,3;-0,391
1,650;9,9;0,731;1,650;9,7;0,268;1,650;9,6;0,026;1,650;9,8;1,430;1,650;9,5;-0,352;1,650;9,3;-0,452;1,650;8,7;1,384;1,650;7,8;-0,699;1,650;9,7;-0,546;1,650;9,5;-0,246
1,700;9,8;0,760;1,700;9,7;0,325;1,700;9,7;0,072;1,700;9,4;1,535;1,700;9,2;-0,219;1,700;9,5;-0,278;1,700;18,1;0,417;1,700;9,7;-0,632;1,700;9,3;-0,458;1,700;9,5;-0,103
1,750;9,7;0,790;1,750;9,7;0,382;1,750;9,6;0,138;1,750;9,5;1,500;1,750;9,4;-0,088;1,750;9,3;-0,114;1,750;4,9;-0,493;1,750;8,7;-0,554;1,750;9,9;-0,366;1,750;9,3;0,025
1,800;9,9;0,822;1,800;9,7;0,438;1,800;9,6;0,214;1,800;9,4;0,970;1,800;9,7;0,038;1,800;9,4;0,028;1,800;4,8;-0,833;1,800;9,7;-0,469;1,800;9,7;-0,273;1,800;9,5;0,140
1,850;9,6;0,853;1,850;9,6;0,494;1,850;9,7;0,291;1,850;13,6;0,095;1,850;9,4;0,156;1,850;9,4;0,146;1,850;9,0;-0,656;1,850;9,8;-0,381;1,850;9,6;-0,181;1,850;9,4;0,251
1,900;10,0;0,884;1,900;9,7;0,550;1,900;9,6;0,367;1,900;10,5;-0,630;1,900;9,5;0,268;1,900;9,4;0,247;1,900;9,4;-0,480;1,900;9,7;-0,295;1,900;9,6;-0,088;1,900;9,4;0,367
1,950;10,0;0,914;1,950;9,8;0,607;1,950;9,7;0,444;1,950;9,3;-0,853;1,950;9,5;0,377;1,950;9,5;0,345;1,950;9,3;-0,293;1,950;9,7;-0,213;1,950;9,6;0,004;1,950;9,5;0,488
2,000;9,5;0,943;2,000;9,8;0,664;2,000;9,6;0,521;2,000;8,6;-0,718;2,000;9,6;0,487;2,000;9,6;0,452;2,000;9,3;-0,113;2,000;9,7;-0,133;2,000;9,6;0,094;2,000;9,7;0,611
2,050;9,7;0,850;2,050;9,6;0,721;2,050;9,8;0,597;2,050;9,2;-0,584;2,050;9,4;0,600;2,050;9,3;0,571;2,050;9,2;0,041;2,050;9,7;-0,060;2,050;9,6;0,183;2,050;9,2;0,734
2,100;10,2;0,455;2,100;9,6;0,778;2,100;9,5;0,674;2,100;9,7;-0,442;2,100;9,3;0,714;2,100;9,3;0,696;2,100;9,3;0,168;2,100;9,7;-0,004;2,100;9,7;0,270;2,100;9,6;0,692
2,150;10,2;-0,116;2,150;9,8;0,836;2,150;9,6;0,750;2,150;9,6;-0,298;2,150;9,8;0,692;2,150;9,4;0,630;2,150;9,2;0,284;2,150;9,7;0,033;2,150;9,7;0,358;2,150;9,4;0,347
2,200;5,7;-0,563;2,200;9,5;0,894;2,200;9,7;0,826;2,200;9,6;-0,159;2,200;10,1;0,369;2,200;9,7;0,276;2,200;9,1;0,407;2,200;9,7;0,058;2,200;9,6;0,445;2,200;6,6;-0,130
2,250;8,4;-0,713;2,250;9,8;0,951;2,250;9,6;0,902;2,250;9,6;-0,037;2,250;8,7;-0,122;2,250;5,4;-0,174;2,250;9,3;0,542;2,250;9,7;0,080;2,250;9,4;0,533;2,250;5,2;-0,441
2,300;9,3;-0,685;2,300;9,6;1,008;2,300;9,6;0,979;2,300;9,5;0,059;2,300;11,7;-0,480;2,300;5,4;-0,420;2,300;9,3;0,686;2,300;9,7;0,103;2,300;9,7;0,620;2,300;5,3;-0,450
2,350;9,1;-0,657;2,350;10,1;1,065;2,350;9,6;1,055;2,350;9,6;0,134;2,350;10,5;-0,534;2,350;3,9;-0,360;2,350;9,1;0,710;2,350;9,7;0,125;2,350;9,8;0,707;2,350;9,7;-0,318
2,400;9,6;-0,623;2,400;9,7;1,123;2,400;9,8;1,132;2,400;9,4;0,195;2,400;9,5;-0,418;2,400;4,9;-0,198;2,400;9,1;0,421;2,400;9,7;0,145;2,400;9,7;0,791;2,400;9,5;-0,181
2,450;9,8;-0,589;2,450;9,9;1,180;2,450;10,2;1,209;2,450;9,5;0,255;2,450;9,4;-0,294;2,450;9,8;-0,051;2,450;8,7;-0,046;2,450;9,7;0,161;2,450;9,6;0,664;2,450;9,5;-0,043
2,500;9,8;-0,554;2,500;9,6;1,234;2,500;9,6;1,285;2,500;9,7;0,322;2,500;9,5;-0,169;2,500;9,3;0,072;2,500;5,5;-0,386;2,500;9,7;0,171;2,500;10,0;0,245;2,500;9,1;0,090
2,550;9,8;-0,519;2,550;9,7;0,958;2,550;9,5;1,361;2,550;9,4;0,403;2,550;9,5;-0,043;2,550;9,4;0,185;2,550;9,2;-0,409;2,550;9,8;0,175;2,550;6,2;-0,260;2,550;9,5;0,216
2,600;9,9;-0,484;2,600;11,9;0,305;2,600;9,7;1,244;2,600;9,4;0,496;2,600;9,5;0,081;2,600;9,3;0,299;2,600;5,0;-0,247;2,600;9,7;0,179;2,600;14,2;-0,553;2,600;9,7;0,338
2,650;9,7;-0,450;2,650;5,7;-0,395;2,650;9,5;0,703;2,650;9,4;0,591;2,650;9,4;0,204;2,650;9,2;0,400;2,650;15,2;-0,093;2,650;9,8;0,192;2,650;10,9;-0,550;2,650;9,4;0,455
